"ids","rel.ids","mzs","RTs","Int"
1759,254,165.0755235777,44.0045246797,7308816.5
576,255,254.1021485106,322.9352852958,22369406
3909,255,255.1055018331,322.9482517472,3011905
579,256,243.1337873442,344.3419720818,22347432
4281,256,244.1370275827,344.3179030645,2737565
580,257,310.2121617213,517.0823618571,22342896
3271,257,311.2148110068,517.1010488535,3707591
588,258,229.1182047982,272.9450618199,22210438
593,259,244.1904684713,534.7979778911,22098868
1941,259,226.1798348927,534.7905081816,6592387.5
3719,259,245.193788605,534.7721947958,3178818.25
594,260,300.1973661493,340.2891878401,22051662
1875,260,300.6988815599,340.4446907552,6835362
597,261,468.2210501967,308.3247182937,21995872
1263,261,468.7226267537,308.3431716192,10987745
3847,261,469.2239314167,308.3175564721,3049928.25
598,262,118.0861165503,63.814974053,21994580
600,263,193.096971054,72.8839169457,21962480
602,264,360.2203840079,309.1105673147,21942098
1091,264,360.5546978832,309.13671875,12541783
603,265,261.1233319799,293.3566255115,21927686
933,265,166.1224996347,291.3491260617,15198852
3508,265,262.1266196923,293.3640325637,3389448.75
607,266,338.1444815323,68.4126499721,21771402
610,267,80.0494167245,49.6964190283,21673162
612,268,153.0755128857,44.3291232245,21621058
1390,268,135.0649561716,44.3471930822,9875322
618,269,307.1580537775,320.616788955,21397542
1809,269,307.6596945869,320.6240895589,7099390.5
624,270,339.2525659579,617.8824626124,21269176
1025,270,379.2449963584,617.8674117687,13642219
2734,270,340.2560723606,617.8881356376,4550371
628,271,117.0544511152,49.6882531809,21231982
629,272,239.1500069267,276.8708237049,21221810
771,273,137.045644914,95.6431387038,21202588
633,274,81.0334609078,51.4150735722,21106198
638,275,189.1595322729,38.8889375868,21025718
640,276,265.0970083124,396.9481397356,21007826
3307,276,266.1003455637,396.933275132,3652949
644,277,287.1234813506,48.9432267234,20937308
4399,277,288.1269373931,48.9250773475,2656311.25
648,278,412.3205498987,585.7797659941,20860310
2069,278,413.3239260802,585.7724566792,6135581.5
656,279,277.6598085037,312.130267552,20723384
659,280,146.1173148338,48.224638828,20703828
663,281,273.1805604983,488.9482432774,20570848
4072,281,274.183907041,488.9482559931,2884148
665,282,164.9842527382,475.7379207168,20552676
1869,282,132.9580494204,474.5204002913,6859803.5
668,283,226.1547164219,77.32715861,20522606
1496,283,231.0972127279,75.8186768123,9051745
790,284,75.0440581976,896.7153731945,20519448
680,285,287.12367387,93.472605569,20232840
4565,285,288.1268507561,93.417306611,2533572.75
560,286,164.984264981,542.587694035,20078802
690,287,236.149011162,49.276311057,19964184
691,288,198.112269051,101.9800204787,19960730
672,289,101.0960465288,727.955375494,19938588
698,290,367.1496938859,251.9766177223,19781862
793,290,255.1336711439,251.3029000419,17662724
3388,290,368.1531680376,251.9813208807,3540814.5
4567,290,256.1370039242,251.3032611665,2533172
701,291,366.205763874,303.8370853,19757926
1741,291,366.7073964545,303.8328645494,7404896.5
704,292,87.0439890224,82.3846522486,19668202
707,293,110.0600052328,72.6990989862,19554236
1976,293,240.0975926429,72.0144384475,6466267
713,294,363.2162471772,639.8590712774,19458350
1153,294,385.1981368777,640.1836148217,10081031
2845,294,422.2897358344,641.2278929211,5460813.5
2839,294,364.2196272133,639.8469180153,4360821.5
714,295,349.1602950767,61.5546943574,19411976
1554,295,319.1495690767,58.076984133,8616586
4160,295,350.1638910418,62.6555106792,2823956.75
715,296,246.1697098684,499.695194688,19350042
4557,296,247.1731586618,499.5135358328,2539419
727,297,105.0909871953,256.4993680628,19183860
2164,297,87.0804252738,257.2607228479,5822150.5
728,298,149.0119883723,699.5676830203,19181262
1374,298,166.984657699,698.6446398358,9708131
732,299,490.1763139901,43.2311034145,19111316
742,300,490.1917255249,181.0837424142,18938960
2831,300,491.1951637515,181.1544699896,4390577.5
744,301,355.1609904806,227.5141283671,18919688
3977,301,356.1646497392,227.5908192226,2946733.75
746,302,279.8278053234,264.0119018555,18787606
1606,302,280.1625157548,264.1306205572,8240637.5
747,303,141.0544857304,346.9405865337,18756502
2322,303,159.0650556397,347.0178797522,5416873.5
748,304,229.1545281891,278.4650275821,18731330
749,305,254.1021489489,348.7463164557,18713812
755,306,110.0599963052,62.3980201011,18591230
1602,306,140.0340170398,62.5705862711,8283633.5
1832,306,140.0704359797,62.0008134177,7011925
756,307,428.1759786906,42.4308579309,18553170
2208,307,457.1663160667,42.9712859108,5697969.5
2729,307,430.1551823836,42.751578876,4559547.5
3547,307,429.1795382664,42.4272052674,3356806.25
760,308,288.1802463254,530.5139217601,18455070
3969,308,289.1837029112,530.4752611433,2954234.75
767,309,269.6527308416,276.5081986927,18328150
2403,309,270.1545119055,276.4784505935,5254695.5
777,310,271.0811463112,260.1935432071,18097284
778,311,601.3350544573,408.540435791,18080382
2065,311,602.3371066484,406.778604126,6148874.5
779,312,259.2450349416,697.0429346839,18051092
4551,312,260.2488722897,697.5072163427,2628901.75
864,313,259.2450228162,694.8241778205,18051092
781,314,276.1627025406,557.7206449963,17984804
782,315,229.1545480202,264.6465286981,17953132
783,316,208.0965366132,404.1629046486,17875080
2042,316,226.1070819696,404.1593395415,6244886
784,317,137.0456534771,152.2251846677,17874700
1214,317,283.103682217,152.1945244925,11411504
788,318,487.2183597136,349.0167954608,17743550
1052,318,263.1389213791,346.2523451306,12424942
1437,318,542.2935499468,348.6077251728,9464042
1824,318,411.2599005732,349.4137406122,7041447
2358,318,346.19709182,348.1026640392,5334173
2725,318,488.2220507557,348.4159751199,4562921
4573,318,543.2963417043,348.432450728,2531918.5
792,319,148.0601838069,52.4417699326,17667494
794,320,259.0923675891,75.2093313308,17592982
795,321,287.1234181399,62.9789347876,17554578
796,322,594.2238112615,43.1683027744,17530162
2043,322,166.053005087,43.5282910491,6244114
800,323,129.0544813058,204.5722551568,17448908
802,324,103.0389001661,53.3096727327,17417312
1669,324,170.0809194283,51.2353798179,7803037.5
2739,324,115.0389656974,51.5362411322,6446693
810,325,266.113469402,260.4981918335,17247000
812,326,316.2227772636,397.9076356434,17231024
4387,326,317.2262106856,397.8877980849,2664699
814,327,391.2839458033,709.7569445233,17198584
