"ids","rel.ids","mzs","RTs","Ints","relationship","isotope.pattern","charge"
9238,5660,837.199370114573,203.874879335771,61446.956766134,"bp",NA,NA
15663,4649,837.199666560443,196.429331401248,18985.9755792975,"",NA,NA
10540,5661,838.197930090759,203.971582663914,47216.5847652357,"bp",0,1
4024,205,376.378566963409,166.637162811941,213983.049306546,"bp",0,1
11588,2562,911.218666205211,205.936422262504,38513.3478721572,"",NA,NA
10900,94,1040.81629079135,206.318902989315,43951.4835670533,"potential bp|isotope",0,1
6724,5668,488.430532273136,203.891169002563,103148.656447827,"bp",0,1
14929,5669,649.466661322976,203.94902578078,21768.0585444724,"bp",NA,NA
481,105,686.182233420545,187.153630276313,2434254.99907487,"bp",NA,NA
2275,248,686.182495750573,175.122857564911,441849.759769331,"bp",1,1
8017,5662,836.198564686685,204.001038021603,78504.7586335306,"bp",NA,NA
9090,94,230.183311942271,206.099669137394,63269.2500567506,"potential bp|isotope",2,1
12013,94,263.237046598933,206.303792027525,35514.5068121601,"",NA,NA
2849,5665,493.387194777451,203.660378214612,334547.299406082,"bp",NA,NA
11708,94,567.472306258853,206.115269734974,37634.2169507807,"",NA,NA
8862,94,1039.81300067643,206.213452679496,66054.0696822874,"potential bp",0,1
2016,232,506.38997379661,194.102207216425,511263.110411463,"bp|isotope",2,1
5815,5428,506.390071650678,202.468814963912,127438.285061121,"bp|isotope",0,1
7382,332,595.375819382826,204.066137181555,89509.0339428422,"potential bp",0,1
7187,332,485.475504601191,204.76469717412,93399.3663236835,"potential bp|isotope",3,1
10520,195,485.475472199409,199.983700301448,47328.8415740479,"potential bp|isotope",1,1
1990,332,579.402290903952,204.484569078404,518287.662519061,"bp",1,1
786,105,687.183029921704,187.210747385077,1495470.29627686,"",NA,NA
3371,248,687.183072355707,175.194327704123,268797.88638492,"bp|isotope",1,1
4134,332,580.405716719841,204.452777843159,205521.671259068,"bp|isotope",1,1
2898,332,574.446442749087,204.606970937569,326762.458479063,"potential bp",2,1
600,195,618.227649795036,199.84970713235,1975300.81150729,"",NA,NA
2263,232,500.430906011734,193.696474390964,445474.714129265,"potential bp",1,1
5372,359,500.430671187874,203.41147835104,142476.832852439,"bp",0,1
6080,94,550.446276045638,205.723458261381,119981.481248435,"",NA,NA
43,13,702.214181442616,131.773398039946,15894122.3138911,"bp",NA,NA
366,24,854.249472159242,186.140624843817,3213923.55152753,"",NA,NA
5430,94,338.277367409585,206.21556133625,140247.912969382,"potential bp|isotope",4,1
8131,94,509.419192314662,206.264194124829,76476.8473605239,"",NA,NA
5096,94,528.45293665259,206.268980545542,153175.866617752,"potential bp|isotope",7,1
5223,227,421.408107525021,151.966554526444,147822.440472322,"bp|isotope",2,1
